,year,name,race_id
205,2014,Brazilian Grand Prix,917
206,2015,Monaco Grand Prix,931
207,2015,Canadian Grand Prix,932
208,2015,Malaysian Grand Prix,927
209,2015,Austrian Grand Prix,933
210,2015,British Grand Prix,934
211,2015,Belgian Grand Prix,937
212,2015,Italian Grand Prix,938
213,2015,Japanese Grand Prix,940
214,2015,Russian Grand Prix,941
215,2015,United States Grand Prix,942
216,2015,Mexican Grand Prix,943
217,2015,Brazilian Grand Prix,944
218,2016,Australian Grand Prix,948
219,2016,Chinese Grand Prix,950
220,2016,Monaco Grand Prix,953
221,2016,Austrian Grand Prix,956
222,2016,British Grand Prix,957
223,2016,Brazilian Grand Prix,967
224,2017,Chinese Grand Prix,970
225,2017,British Grand Prix,978
226,2017,Italian Grand Prix,981
227,2017,Singapore Grand Prix,982
228,2018,Australian Grand Prix,989
229,2018,Azerbaijan Grand Prix,992
230,2018,German Grand Prix,999
231,2019,British Grand Prix,1019
232,2019,German Grand Prix,1020
233,2019,Italian Grand Prix,1023
234,2020,Styrian Grand Prix,1032
235,2020,Hungarian Grand Prix,1033
236,2020,British Grand Prix,1034
237,2020,Eifel Grand Prix,1041
238,2020,Turkish Grand Prix,1044
239,2021,Emilia Romagna Grand Prix,1053
240,2021,Styrian Grand Prix,1058
241,2021,French Grand Prix,1059
242,2021,Belgian Grand Prix,1063
243,2021,Russian Grand Prix,1066
244,2021,Turkish Grand Prix,1067
245,2021,United States Grand Prix,1069
246,2021,Abu Dhabi Grand Prix,1073
247,2022,Emilia Romagna Grand Prix,1077
248,2022,Monaco Grand Prix,1080
249,2022,Canadian Grand Prix,1082
250,2022,British Grand Prix,1083
251,2022,Hungarian Grand Prix,1086
252,2022,Singapore Grand Prix,1091
253,2022,Japanese Grand Prix,1092
254,2022,Brazilian Grand Prix,1095
